company_permalink,company_name,company_category_list,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
/organization/3pointdata,3PointData,,,,,,/organization/boomstartup,BoomStartup,USA,UT,Salt Lake City,Salt Lake City,/funding-round/57905c17f53530644fd753f62f31e69b,seed,,9/3/10,
/organization/3power-energy-group,3POWER ENERGY GROUP,Clean Technology,GBR,K4,Plymouth,Plymouth,/organization/cr-p-holding,CR&P Holding,,,,,/funding-round/30d107e92eddb3b3791013d29328986d,private_equity,,3/11/11,50000000
/organization/3rd-planet,3rd Planet,Curated Web|Tourism|Travel,CHN,,,,/organization/idmvc,IDMVC,SGP,,Singapore,Singapore,/funding-round/30019b70edcb2f05932d235ed170303c,venture,A,5/1/12,1000000
/organization/3rd-planet,3rd Planet,Curated Web|Tourism|Travel,CHN,,,,/organization/media-development-authority,Media Development Authority,SGP,,Singapore,Singapore,/funding-round/a61bf289e4ef236a6c7bcc734559252f,angel,,2/10/11,500000
/organization/3rdkind,3rdKind,Game,JPN,40,Tokyo,Tokyo,/organization/adways,Adways Inc.,JPN,40,Tokyo,Tokyo,/funding-round/e90d91771f129e80b3bfd09d4ac97de3,venture,,7/29/14,1000000
/organization/3rdkind,3rdKind,Game,JPN,40,Tokyo,Tokyo,/organization/global-brain-corporation,Global Brain Corporation,JPN,40,Tokyo,Tokyo,/funding-round/e90d91771f129e80b3bfd09d4ac97de3,venture,,7/29/14,1000000
/organization/3rdkind,3rdKind,Game,JPN,40,Tokyo,Tokyo,/organization/nippon-venture-capital,Nippon Venture Capital,JPN,40,Tokyo,Tokyo,/funding-round/e90d91771f129e80b3bfd09d4ac97de3,venture,,7/29/14,1000000
/organization/3roam,3ROAM,Mobile,FRA,B8,Nice,Mougins,/organization/evysem-entrepreneurs-et-capital,Evysem Entrepreneurs et Capital,FRA,A8,Paris,Paris,/funding-round/999bf74c3c280ca76bbf5c70397b9784,venture,,11/14/08,1394250
/organization/3roam,3ROAM,Mobile,FRA,B8,Nice,Mougins,/organization/sophia-business-angels,Sophia Business Angels,FRA,B8,Nice,Valbonne,/funding-round/999bf74c3c280ca76bbf5c70397b9784,venture,,11/14/08,1394250
/organization/3scale,3scale,Developer APIs|Enterprise Software|Infrastructure|Services|Software,USA,CA,SF Bay Area,San Francisco,/organization/cidem-acc1,CIDEM / ACC1Ã“,,,,,/funding-round/9083f38969f313a4e0eab1063fcb249f,seed,,4/20/10,800000
